Date,Core,Deep,REM,Awake,InBed,BedTime_Offset,TotalSleep
2023/4/17,252.85,43.93333333,23.93333333,0,323.9833333,1.5,320.7166667
2023/7/22,278.8166667,92.93333333,31.91666667,1.983333333,421.9833333,2.083333333,403.6666667
2023/7/23,269.8,111.95,121.8666667,8.983333333,531.9833333,1.35,503.6166667
2023/7/29,213.8,70.95,61.86666667,0,386.9833333,2.533333333,346.6166667
2023/8/6,283.7666667,84.93333333,57.86666667,7.983333333,441.9666667,1.816666667,426.5666667
2023/8/16,272.7833333,80.91666667,44.88333333,0,410.9833333,2.016666667,398.5833333
2023/8/31,268.8,94.93333333,40.9,1.983333333,439.9666667,2.45,404.6333333
2023/9/5,251.8833333,114.9666667,25.93333333,0,463.9833333,2.316666667,392.7833333
2023/9/6,190.85,103.9666667,99.9,0,445.9833333,1.833333333,394.7166667
2023/9/7,190.8666667,100.9666667,46.91666667,0,406.9833333,2.416666667,338.75
2023/9/8,194.8666667,83.96666667,81.91666667,0,430.9833333,2.266666667,360.75
2023/9/9,254.8,91.96666667,70.86666667,5.983333333,437.9833333,2.55,417.6333333
2023/9/10,180.8,72.95,60.88333333,26.98333333,355.9833333,3.183333333,314.6333333
2023/9/11,257.8,87.96666667,50.86666667,7.983333333,424.9666667,2.466666667,396.6333333
2023/9/13,238.8333333,76.96666667,45.9,8.983333333,386.9666667,1.783333333,361.7
2023/9/14,227.7333333,79.93333333,80.81666667,15.98333333,460.9833333,2.733333333,388.4833333
2023/9/15,189.7666667,80.95,67.85,7.983333333,359.9833333,3.3,338.5666667
2023/9/16,208.8666667,60.95,27.93333333,0,304.9833333,2.05,297.75
2023/9/17,178.7833333,78.96666667,90.85,36.98333333,408.9666667,2.983333333,348.6
2023/9/20,205.8166667,64.93333333,75.9,0,371.9833333,1.816666667,346.65
2023/9/25,151.9,61.96666667,15.95,0,205.9833333,4.333333333,229.8166667
2023/9/26,304.7333333,85.9,49.85,0,484.9833333,-1.15,440.4833333
2023/9/27,163.8833333,50.96666667,32.93333333,0,280.9833333,3.366666667,247.7833333
2023/9/28,323.85,106.9666667,38.9,0,498.9833333,-0.183333333,469.7166667
2023/10/2,261.8333333,77.95,75.9,0,425.9833333,1,415.6833333
2023/10/3,266.7666667,126.95,73.85,1.983333333,472.9833333,-0.133333333,467.5666667
2023/10/4,234.8166667,76.96666667,84.86666667,0,424.9833333,0.75,396.65
2023/10/10,267.7833333,116.9666667,102.8666667,12.96666667,507.9666667,-0.183333333,487.6166667
2023/10/11,290.8333333,103.9666667,48.88333333,0,452.9833333,0.45,443.6833333
2023/10/12,207.8,82.96666667,97.85,0,389.9833333,1.05,388.6166667
2023/10/13,227.8,88.95,76.86666667,0,407.9833333,1.483333333,393.6166667
2023/10/16,197.7666667,73.91666667,53.86666667,0,329.9833333,2.016666667,325.55
2023/10/31,290.8166667,90.93333333,38.91666667,8.983333333,442.9666667,0.933333333,420.6666667
2023/11/1,214.8333333,102.9666667,60.88333333,0,411.9833333,1.433333333,378.6833333
2023/11/2,241.7666667,98.96666667,64.81666667,0,422.9833333,1.233333333,405.55
2023/11/3,278.8166667,86.96666667,52.86666667,0,437.9833333,1.016666667,418.65
2023/11/6,148.8833333,50.96666667,39.93333333,0,256.9833333,1.116666667,239.7833333
2023/11/9,182.8833333,78.96666667,88.93333333,0,377.9833333,1.233333333,350.7833333
2023/11/10,236.7833333,83.95,70.85,0,401.9833333,1.616666667,391.5833333
2023/11/11,234.8166667,93.93333333,54.9,0,410.9833333,1.116666667,383.65
2023/11/12,379.7166667,49.93333333,72.8,0,525.9833333,-0.483333333,502.45
2023/11/14,295.8333333,92.91666667,28.93333333,0,425.9833333,1.083333333,417.6833333
2023/11/15,175.8,99.95,79.88333333,15.98333333,393.9666667,1.9,355.6333333
2023/11/16,295.8666667,82.95,30.93333333,0,429.9833333,1.416666667,409.75
2023/11/17,226.8166667,78.95,86.88333333,0,414.9833333,1.083333333,392.65
2023/11/18,265.8166667,73.95,45.88333333,0,417.9833333,1.466666667,385.65
2023/11/19,342.8166667,97.95,50.88333333,0,510.9833333,1.066666667,491.65
2023/11/20,299.8666667,106.9666667,30.93333333,1.983333333,466.9833333,0.716666667,437.7666667
2023/11/21,250.8,76.95,48.86666667,0,385.9833333,1.916666667,376.6166667
2023/11/22,273.7833333,87.93333333,62.86666667,0,443.9833333,1,424.5833333
2023/11/23,268.7666667,63.95,61.83333333,0,442.9833333,1.283333333,394.55
2023/11/24,275.8666667,46.95,30.93333333,0,385.9833333,0.183333333,353.75
2023/11/25,306.8,123.95,52.86666667,0,527.9833333,-0.2,483.6166667
2023/11/26,243.85,82.96666667,38.91666667,9.983333333,402.9666667,2.633333333,365.7333333
2023/11/27,267.8166667,86.95,44.9,10.98333333,430.9666667,1.166666667,399.6666667
2023/11/28,269.8166667,77.96666667,59.86666667,0,426.9833333,1.05,407.65
2023/11/29,235.7666667,91.96666667,91.83333333,8.983333333,470.9666667,0.816666667,419.5666667
2023/11/30,242.8333333,99.95,50.9,0,408.9833333,1.65,393.6833333
2023/12/1,245.7833333,91.96666667,100.8333333,0,448.9833333,0.85,438.5833333
2023/12/2,251.8666667,94.96666667,39.91666667,0,408.9833333,1.616666667,386.75
2023/12/3,183.8333333,109.9666667,105.9,34.96666667,447.9666667,0.866666667,399.7
2023/12/4,272.8,91.95,49.86666667,0,424.9833333,0.666666667,414.6166667
2023/12/5,301.8333333,87.93333333,36.91666667,0,438.9833333,1.233333333,426.6833333
2023/12/6,183.8,75.96666667,69.85,0,352.9833333,2.4,329.6166667
2023/12/7,289.8166667,78.95,44.88333333,0,439.9833333,1.033333333,413.65
2023/12/8,294.8333333,79.93333333,30.91666667,0,421.9833333,1.483333333,405.6833333
2023/12/9,220.85,84.96666667,46.9,0,362.9833333,2.25,352.7166667
2023/12/11,298.8166667,91.95,42.88333333,0,457.9833333,0.8,433.65
2023/12/12,186.8,89.95,96.88333333,9.983333333,415.9666667,2.016666667,373.6333333
2023/12/14,202.8166667,86.95,82.88333333,0,392.9833333,1.683333333,372.65
2023/12/15,241.85,63.93333333,27.93333333,0,375.9833333,1.933333333,333.7166667
2023/12/16,224.8333333,64.91666667,38.93333333,0,339.9833333,1.333333333,328.6833333
2023/12/17,279.6833333,96.91666667,81.8,32.98333333,493.9666667,-0.116666667,458.4
2023/12/18,211.7666667,81.93333333,77.86666667,5.983333333,389.9833333,1.766666667,371.5666667
2023/12/19,282.7666667,81.91666667,38.88333333,8.983333333,422.9666667,1.266666667,403.5666667
2023/12/20,213.7666667,72.93333333,89.85,7.983333333,395.9666667,1.683333333,376.55
2023/12/21,229.8166667,75.95,67.88333333,0,392.9833333,1.966666667,373.65
2023/12/22,207.8166667,58.95,53.88333333,0,329.9833333,2.1,320.65
2023/12/23,313.8,101.95,71.88333333,10.98333333,526.9666667,1.2,487.6333333
2023/12/24,186.8166667,131.9666667,90.86666667,0,422.9833333,1.5,409.65
2023/12/25,261.8,103.9333333,46.88333333,0,440.9833333,1.5,412.6166667
2023/12/26,192.8,126.9666667,90.85,11.98333333,446.9666667,0.983333333,410.6166667
2023/12/27,237.8166667,71.96666667,65.88333333,10.98333333,392.9666667,1.833333333,375.6666667
2023/12/28,199.7166667,77.9,81.83333333,0,373.9833333,2.133333333,359.45
2023/12/29,246.8833333,68.96666667,24.93333333,0,350.9833333,1.983333333,340.7833333
2023/12/30,286.7333333,116.95,71.81666667,23.98333333,504.9666667,2.266666667,475.5
2023/12/31,307.75,96.93333333,71.85,9.983333333,493.9666667,2.083333333,476.5333333
2024/1/1,228.8,73.93333333,71.88333333,0,388.9833333,2.283333333,374.6166667
2024/1/2,250.7666667,103.95,101.8333333,0,464.9833333,1.566666667,456.55
2024/1/3,230.8166667,77.95,63.88333333,0,445.9833333,2.45,372.65
2024/1/4,235.85,88.96666667,87.9,0,447.9833333,1.683333333,412.7166667
2024/1/5,207.8333333,90.96666667,90.88333333,0,403.9833333,1.983333333,389.6833333
2024/1/6,230.8666667,61.96666667,36.91666667,0,349.9833333,2.216666667,329.75
2024/1/7,263.8166667,92.95,55.88333333,0,434.9833333,0.9,412.65
2024/1/8,224.8,90.96666667,51.85,0,391.9833333,2.55,367.6166667
2024/1/9,244.75,59.96666667,70.81666667,11.98333333,398.9666667,1.583333333,375.5333333
2024/1/10,267.8666667,69.96666667,34.91666667,0,373.9833333,2.183333333,372.75
2024/1/11,249.8,86.95,54.88333333,0.983333333,459.9833333,2.483333333,391.6333333
2024/1/12,176.85,85.95,78.91666667,0,350.9833333,2.683333333,341.7166667
2024/1/13,265.7833333,86.96666667,66.83333333,0,438.9833333,2.066666667,419.5833333
2024/1/14,197.8666667,104.95,40.93333333,0,407.9833333,2.466666667,343.75
2024/1/15,172.8,98.96666667,73.85,0,369.9833333,2.433333333,345.6166667
2024/1/16,239.8166667,91.96666667,82.86666667,0,439.9833333,1.533333333,414.65
2024/1/17,190.8333333,96.95,56.9,9.983333333,380.9666667,2.75,344.6833333
2024/1/18,221.85,66.98333333,53.88333333,0,370.9833333,1.616666667,342.7166667
2024/1/19,160.8833333,72.96666667,77.93333333,0,322.9833333,1.916666667,311.7833333
2024/1/20,259.7666667,116.95,63.85,43.98333333,467.9666667,1.1,440.5666667
2024/1/21,316.8166667,99.95,61.88333333,0,492.9833333,1.983333333,478.65
2024/1/22,193.8166667,78.93333333,88.91666667,9.983333333,402.9666667,2.283333333,361.6666667
2024/1/23,207.7833333,75.95,87.86666667,8.983333333,397.9666667,1.316666667,371.6
2024/1/24,185.8,78.95,81.86666667,0,358.9833333,2.55,346.6166667
2024/1/25,226.8333333,105.95,64.9,0,417.9833333,0.6,397.6833333
2024/1/26,195.8,74.96666667,90.85,0,391.9833333,1.833333333,361.6166667
2024/1/27,203.8666667,81.96666667,54.91666667,0,409.9833333,1.633333333,340.75
2024/1/28,233.8166667,87.93333333,87.9,0,426.9833333,1.966666667,409.65
